Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-09-06,0.06399,0.06457,0.06243,0.06361,104190328.7,0.0428999996185302
2023-09-07,0.06362,0.06381,0.06273,0.06363,81904644.2,0.0426000022888183
2023-09-08,0.06364,0.064,0.06237,0.06368,75391932.8,0.0425799989700317
2023-09-09,0.06368,0.0639,0.06318,0.06337,51359665.6,0.0425799989700317
2023-09-10,0.06337,0.0634,0.0594,0.06129,137626017.0,0.0425799989700317
2023-09-11,0.06129,0.06198,0.0592,0.06046,174328056.5,0.0428800010681152
2023-09-12,0.06046,0.06239,0.06041,0.06088,208837620.8,0.0426399993896484
2023-09-13,0.06088,0.06182,0.06049,0.06125,152425368.3,0.0424900007247924
2023-09-14,0.06125,0.0626,0.06109,0.06211,209364218.4,0.0428800010681152
2023-09-15,0.06211,0.06294,0.06138,0.06251,101634912.7,0.0432200002670288
2023-09-16,0.06251,0.06297,0.06179,0.06216,82354781.5,0.0432200002670288
2023-09-17,0.06216,0.06255,0.06098,0.06148,91396238.7,0.0432200002670288
2023-09-18,0.06148,0.06282,0.06098,0.062,139135408.9,0.0431899976730346
2023-09-19,0.062,0.06325,0.0619,0.06268,112054763.3,0.0436499977111816
2023-09-20,0.06269,0.06304,0.0615,0.06263,124461300.1,0.0434899997711181
2023-09-21,0.06263,0.06346,0.06102,0.06129,121136833.0,0.0448000001907348
2023-09-22,0.06129,0.06188,0.06059,0.06152,74418921.6,0.0443800020217895
2023-09-23,0.06152,0.06199,0.06128,0.06151,37406463.2,0.0443800020217895
2023-09-24,0.0615,0.06175,0.06031,0.0607,51773371.5,0.0443800020217895
2023-09-25,0.0607,0.0612,0.06013,0.06093,65612301.8,0.0454199981689453
2023-09-26,0.06092,0.06114,0.0593,0.06058,104685821.8,0.0455800008773803
2023-09-27,0.06058,0.06136,0.06012,0.06048,92036932.3,0.0462599992752075
2023-09-28,0.06047,0.06166,0.06033,0.0615,91575340.1,0.0459700012207031
2023-09-29,0.06149,0.06248,0.06131,0.06214,88237457.8,0.0457299995422363
2023-09-30,0.06215,0.06272,0.06173,0.06207,89686154.7,0.0457299995422363
2023-10-01,0.06208,0.06356,0.06172,0.06317,101836681.2,0.0457299995422363
2023-10-02,0.06318,0.06418,0.061,0.06202,188844630.6,0.0468300008773803
2023-10-03,0.06203,0.06229,0.06108,0.06139,51133324.5,0.0480200004577636
2023-10-04,0.06136,0.06159,0.06002,0.06146,71153391.1,0.047350001335144
2023-10-05,0.06147,0.06165,0.06061,0.06085,54369708.6,0.0471700000762939
2023-10-06,0.06086,0.0616,0.06071,0.0614,59163662.8,0.0478399991989135
2023-10-07,0.06141,0.06169,0.06106,0.06146,32587229.6,0.0478399991989135
2023-10-08,0.06147,0.06165,0.06074,0.06098,41487041.1,0.0478399991989135
2023-10-09,0.06099,0.06104,0.0569,0.05877,150549068.5,0.0479699993133544
2023-10-10,0.05876,0.05926,0.05847,0.05913,61828686.7,0.0465500020980834
2023-10-11,0.05914,0.05949,0.05765,0.05852,80317281.6,0.0459499979019165
2023-10-12,0.05851,0.05854,0.05725,0.05788,57948494.3,0.0471199989318847
2023-10-13,0.05788,0.05887,0.05775,0.05839,77603700.5,0.0462900018692016
2023-10-14,0.05839,0.05998,0.05834,0.05984,49526438.9,0.0462900018692016
2023-10-15,0.05984,0.05985,0.05899,0.05931,63067647.0,0.0462900018692016
2023-10-16,0.05931,0.06174,0.05911,0.06002,187572117.9,0.0471199989318847
2023-10-17,0.06003,0.0602,0.05813,0.05906,74403015.7,0.0484700012207031
2023-10-18,0.05905,0.05937,0.05826,0.05861,54424179.2,0.0490399980545043
2023-10-19,0.05861,0.05894,0.05744,0.05887,62904319.9,0.0498799991607666
2023-10-20,0.05888,0.06052,0.05867,0.05993,95195229.1,0.0492399978637695
2023-10-21,0.05993,0.06147,0.05945,0.06121,91060979.7,0.0492399978637695
2023-10-22,0.06121,0.06174,0.05982,0.06171,78807712.5,0.0492399978637695
2023-10-23,0.06171,0.06793,0.06131,0.06744,519493138.4,0.0483799982070922
2023-10-24,0.06746,0.07007,0.06413,0.06657,652805827.9,0.0484000015258789
2023-10-25,0.06659,0.0698,0.06463,0.06835,644389523.8,0.0495300006866455
2023-10-26,0.06833,0.07516,0.06783,0.07186,812924482.3,0.0484499979019165
2023-10-27,0.07186,0.07242,0.06724,0.06778,367817217.0,0.0484499979019165
2023-10-28,0.06778,0.06982,0.06752,0.06904,166922983.0,0.0484499979019165
2023-10-29,0.06904,0.07019,0.06724,0.06937,174331143.6,0.0484499979019165
2023-10-30,0.06937,0.07041,0.06779,0.06962,186867177.4,0.04875
2023-10-31,0.06961,0.07087,0.06568,0.06828,307681406.0,0.04875
2023-11-01,0.06827,0.0698,0.0657,0.06896,490060250.6,0.0478900003433227
2023-11-02,0.06895,0.0709,0.06663,0.06791,386191159.2,0.0466900014877319
2023-11-03,0.0679,0.06829,0.06629,0.06811,240044429.4,0.0455800008773803
